a 阿啊腌嗄锕吖呵錒𠼞𥥩𨉚𱚱
fu 府服副负富复福夫妇幅付扶父符附腐赴佛浮覆辅傅伏抚赋辐腹弗肤阜袱缚甫氟斧孚敷俯拂俘咐腑孵芙涪釜脯茯馥绂讣呋罘麸蝠匐蜉跗凫滏蝮驸绋蚨桴赙菔趺苻拊鲋怫稃郛莩幞祓艴黻黼㕮㳇垺榑洑玞琈砆簠芣茀鄜韨𫓧𫖯㓡㔗㕊㙏㚆㚕㚘㜑㟊㠅㤔㤱㩤㪄㫙㬼㭪㲗㷆㽬㾈䂤䃽䃿䄮䈏䋨䋹䌗䌿䍖䎔䑧䒄䒇䓏䓵䔰䕎䗄䘀䘠䝾䞜䞞䞤䞯䞸䟔䟮䠵䡍䦣䧞䨗䨱䩉䪔䪙䫍䫝䭮䭸䭻䮛䯱䱐䳕䴸䵾不乀乶仅伕俌俛偩偪冨冹刜包咈哹哺嘸坿垘報妋姇娐婏婦媍嬎嬔宓尃岪峊巿市帗弣彳彿復怀怤懯捊捬掊撨撫旉枎枹柎柫柭栿棴椨椱汱沕沸泭溥澓炥烰焤玸璷甶畉畐畗痡癁盙砩祔禣秿稪竎笰筟箁箙粰糐紨紱紼絥綍綒緮縛纀罦翇胕膚艀芾荂荴莆萉萯葍蓲蕧虙蚥蚹蛗蜅蝜衭袚袝複褔襆襥覄訃詂諨豧負費賦賻踾軵輔輹輻还邚邞郍郙酜酻釡鈇鉘鉜錇鍑鍢阝陚鞴韍韛頫颫颰駙髴鬴鮄鮒鮲鰒鳆鳧鳬鳺鴔鵩鶝麩麬麱𠋩𠌽𠓗𠟌𠡂𠣾𠪻𠬝𠲽𡏪𡐝𡞪𡠞𡦄𡫺𡬇𡵛𢀼𢁀𢂀𢂆𢌹𢏍𢒒𢗫𢗲𢘍𢞦𢠲𢯋𢰆𢻀𢻮𣀣𣀾𣄎𣆵𣑿𣘧𣞒𣥋𣭘𣹋𣻜𣿆𤆮𤉨𤕾𤙤𤙭𤝔𤝟𤠪𤭟𤰈𤱽𤶖𤸑𤸗𤿭𥄑𥄓𥒫𥒰𥘬𥦘𥧷𥨍𥪋𥪚𥰛𥱀𥲛𥳇𥷱𥼼𥾧𦂊𦇁𦊦𦊾𦎎𦎭𦐡𦑹𦔍𦖀𦨈𦨋𦨡𦩡𦮹𦰺𦱖𦲫𦳓𦸱𦺉𦽏𦿁𧀮𧀴𧄏𧉈𧉊𧌈𧌓𧒂𧒙𧕡𧖚𧥱𧳂𧴌𧻳𧼗𧼱𧿳𨁒𨋩𨌥𨑑𨚓𨦛𨵃𨵟𨺅𨾚𩂆𩂎𩂔𩂕𩅿𩉽𩋟𩋨𩌏𩍏𩍿𩎛𩐚𩑬𩒙𩒺𩓖𩖬𩖼𩜲𩠷𩢰𩢿𩣜𩣸𩬙𩭺𩳎𩳐𩵩𩵹𩽺𩽻𩾿𩿧𪀺𪂀𪂋𪂾𪃓𪆠𪊐𪍏𫚒𫛳𮔅𱯧
ga 嘎尬噶旮伽尕呷钆尜㹢咖嘠夹夾戛玍胳軋轧釓錷魀𠁥𡉅𡯰𡯽𡼛𣬫𲈖
gai 改该盖概溉钙丐赅垓陔戤晐荄隑𬮿㕢㧉㮣㱾䀭䏗䐩䪱䬵䶣乢侅匃匄咳姟峐忋摡杚核槩槪汽漑瓂畡磑祴絠絯胲芥葢蓋該豥賅賌郂鈣閡阣骸𠌰𡒖𡧣𢅤𢍓𢻉𦫻𧊏𧯺𨞨𨮂𨱕𨱣𨸛𩕭
gan 干感赶敢甘肝杆赣乾柑尴竿秆橄矸淦苷擀酐绀泔坩旰疳澉㽏扞玕篢鳡㓧㔶㤌㶥㺂㿻䃭䇞䊻䤗䯎䲺䵟个乹亁仠佄倝凎凲咁奸尲尶尷幹忓捍攼桿榦檊汗汵浛漧灨玵皯盰稈笴筸簳粓紺芉虷衦詌諴豃贑贛趕迀釬錎飦骭魐鰔鱤鳱𠇵𠖫𠥴𠿑𡯋𡶑𢁗𢧀𣁖𣆙𣔼𣗲𣘠𣦖𣰦𣵷𣵼𣹟𤌹𤭙𤮽𤯌𥕵𥘏𥸡𥾍𦪧𦼮𦾮𧆐𧹳𧾲𨝌𨣝𨳼𩉐𩖦𩚵𩠁𩢨𩬚𩴁𩴵𩹸𪉦𪉿𪊄𪊇𪔆𪚬𫎬𱖇𱶡𱸜
gang 港钢刚岗纲冈杠缸肛罡戆筻㭎冮堽矼鿍㟠㟵㠮㧏㼚㽘䚗䴚亢伉剛堈岡崗戅戇扛抗掆棡槓溝焵焹牨犅犺疘碙綱罁罓肮釭鋼鎠阬頏𠵹𡇬𢭈𢰌𣗵𣦐𤭛𦋳𦱌𨟼𮣲𮭰𱮴
gao 高告搞稿膏糕镐皋羔锆杲郜睾诰藁篙缟槁槔筶㚏㚖㤒㵆㾸䆁䓘勂吿咎夰峼暠槀槹橰檺櫜浩滜獋皐睪祮祰禞稁稾縞羙臯菒蒿藳誥鋯鎬韟餻髙鷎鷱鼛𠰛𡋟𡜲𡷥𡼗𢍎𢞟𣓌𣝏𣽎𤱟𥓖𥢐𥢑𦍱𦏦𦕺𦤎𦺆𧚡𧜉𧠼𧢌𨝲𩋺𩏤𩓢𩔇𩕍𩝝𩫓𪔘𱗤
ge 个各革格歌哥隔割阁戈葛鸽搁胳舸疙铬骼蛤咯圪镉仡硌嗝鬲膈纥袼塥哿虼滆饹㓣㖵㗆㠷㤎㦴㪾㭘㵧㷴䅥䈓䐙䔅䗘䘁䛿䣬䧄䨣䩐䩡䪂䪺䫦䬣䰛介佫佮個假匌可合吤呄嗰嘅噶屹彁愅戓戨扢挌搿擖擱敋杚槅櫊浩滒牫牱犵猲獦盖砝秴箇紇肐臈臵茖菏蓋蛒裓觡詥諽謌輵轕鉀鉻鉿鎑鎘鎶閘閣閤鞈鞷韐韚頜颌騔髂魺鮥鮯鰪鴐鴚鴿鵅鿔𠛊𠯫𠲱𠸲𠹓𠺝𡟍𢄍𢆜𢎄𢓜𢡍𢧧𢩓𢯹𢼛𣭝𤇞𤕒𤜊𤠇𤩲𤭻𤰙𥉅𥢸𥰮𥴩𥺊𦑜𦓱𦨜𧈌𧈑𧈖𧊧𧎺𧗶𧪞𧿩𨍮𨏚𨏴𨐥𨝆𨞛𨟶𨭛𨼣𨼥𨾓𩎎𩢅𩢛𩨀𩨘𩹺𩹿𩼙𩾷𪀁𪀉𪃿𪄎𪌣𬤐𬮤𮝺𱎼𱗋𱤗
gei 给給
gen 根跟亘艮哏茛㫔㮓䫀亙揯搄痕𠄣𠛵𥃩𨒼𩑡𩒝𩓓
geng 更耕庚耿梗埂羹哽赓绠鲠暅浭鹒𬒔㪅㹴㹹㾘䋁䌄䎴䢚䱍䱎䱭䱴亘亙亢刯堩峺恆挭椩焿畊硬絙絚綆緪縆羮莄菮賡邢郠頸颈骾鯁鶊𠡣𡍷𡩃𢙾𢞚𣆳𣈶𣎄𥅨𥉔𥔂𥾚𦚸𦛟𦜷𦞌𦣍𦵸𧀙𧋑𧙸𧰨𨁈𩂼𩜣𩱁𩱋𩱧𬘵
gong 工公共供功贡攻宫巩龚恭拱躬弓汞蚣珙觥肱䢼唝篢𬕂㓋㓚㔶㕬㤨㧬㫒㭟㯯㺬㼦䂬䂵䇨䍔䐵䔈䡗䰸䱋䲲䳍匑匔厷咣嗊塨宮幊廾愩慐拲杛杠栱渱熕疘硔碽磺礦糼紅红羾莻虹蛩觵貢贛躳輁釭銾鑛鞏髸魟龏龔𠇒𠌕𠞖𡔕𡚑𡟫𢀜𢁠𢖷𢸁𤅐𤨶𤬳𤱨𥧂𥧡𥨐𥫋𥸲𦄜𦈩𦊫𦏺𦓳𦔸𦞗𦞨𦦧𦩼𦬘𦵡𧆷𧎡𧘏𨉫𨊧𨋑𨋝𨋷𨒱𨣂𨥑𨨭𨴛𩃙𩌌𩐣𩛘𪄌𪏠𪏢𫋐𮭥𱖭
gou 构购够沟狗钩勾苟垢枸篝佝媾诟岣彀缑笱鞲觏遘姤耇雊㗕㜌㝅㝤㡚㨌㺃㽛䃓䐟䑦䝭䪷䬲䵶傋冓區句呴坸夠拘搆撀構泃溝煹玽痀簼緱耈耉芶茩蚼袧褠覯訽詬豰豿購軥鈎鉤韝鮈鴝𠛎𡖑𡗁𢄇𣕉𣕌𣙱𣫌𤖮𤚼𤠼𤫱𥉇𥧒𥬉𥴴𥿺𦎯𦎼𦩷𦱣𦵷𦽋𧃛𧲿𧵈𨩦𩄢𪃺𪚭
gu 股古顾故固鼓骨估谷贾姑孤雇辜菇沽咕呱锢钴鹄箍汩梏痼崮轱鸪牯蛊诂毂鹘菰罟嘏臌觚瞽蛄酤牿鲴堌榖瀔羖蓇馉𦙶㒴㚉㧽㯏㱠㼋㽽㾶䀇䀜䀦䀰䅽䇢䉉䍛䐨䐻䓢䜼䡰䮩䵻䶜傦僱凅告呴哌唂唃啒嗗夃嫴家尳崓怘愲扢枯柧棝榾橭櫎泒淈滑濲焸瓠皋皷皼盬磆祻稒穀笟箛篐糓縎罛胍脵苦苽薣蛌蠱角詁賈軱軲轂逧鈲鈷錮離顧餶骰鮕鯝鴣鵠鶻鼔𠑹𠷞𠻧𠽿𡗷𡷓𡽂𢝳𢡇𢪏𣀐𣖫𣦩𣦭𣨍𣨺𣪸𣫀𣱫𣲖𤅱𤚱𥂰𥐬𥠳𥮝𥵠𥿍𦈔𦈲𦊬𦋆𦍩𦎰𦺠𦾫𧆻𧇡𧟣𧣡𧬕𧳸𧵎𨠋𨪷𨬕𨱃𨵐𨸯𩀠𩙏𩲱𩴡𪄮𪇗𪕷𮝴𱐏
gua 挂瓜刮寡卦呱褂聒剐胍诖鸹栝坬㒷㓡㧓㱙㶽䀨䈑䏦䒷䫚䯄䯏冎剮劀叧咶咼啩惴括捖掛擖歄焻煱絓緺罣罫舌苽袿詿諣趏踻銛銽颪颳騧鴰𠆣𠈥𠊰𠙼𠛒𠜵𠟗𠮠𠯑𠵯𡜁𣅻𤆜𥄼𥈓𥝒𦊱𧤐𧿼𨵃𩢍𩻎𪇜𮉤𮉨𱴾
guai 怪拐乖掴夬㧔㷇㾩䂯䂷䃶䊽䓙叏噲恠摑枴柺箉罫𠛕𠦬𡇸𡌪𡖪𡧩𢶒𣲾𥑋𥑰𦫳𦮃𧊅𧱾𧴚𩶦
guan 关管观馆官贯冠惯灌罐莞棺倌鹳鳏盥掼涫毌爟琯瓘祼筦蒄鳤㮡㴦䌯䎚䏓䗆䗰䘾䙛䙮䚪䝺䤽䦎䩪䪀䲘丱串卝婠幹悹悺慣懽摜斡果樌櫬權泴淉淪潅痯瘝癏矔矜礶窤綸纶罆舘菅覌観觀貫躀輨遦錧鏆鑵閞関闗關雚館鰥鱞鱹鵍鸛𠬆𠴨𡅭𡠒𡭷𢇇𢉂𢺄𣥥𣩔𣬂𤮳𤼐𥈒𥉀𥊫𥍅𥎅𥜄𥷬𥿑𦛤𦺊𨝑𨱌𨳡𨴊𨵄𨷀𩖒𪈸𫐑𱑖𱾆
guang 广光逛犷胱咣桄垙洸珖𨐈㤮㫛侊俇僙姯広廣恍挄撗擴横櫎欟潢灮炗炚炛烡獷硄臦臩茪趪輄迋銧黆𠏤𢓯𤖖𤳭𤴀𥀱𦢎𧻺𨎩𨤡𨶰𩑈𩒚𩧉𪇵𪕓
gui 规贵归轨桂柜圭鬼硅瑰跪龟闺诡癸炔鳜桧皈鲑刽晷傀妫庋簋刿宄匦姽廆氿珪筀邽鬶㔳㙺㧪㨳㩻㪈㰪㲹㸵䁛䃶䃽䅅䈐䌆䍯䐩䐴䝿䞈䞨䟸䠩䣀䤆䤥䮹䯣䲅䳏亀佹偽劊劌匭匮匱厬哇垝娃媯嫢嬀嶡巂帰庪恑摫撅撌攰攱昋朹桅椝椢概槣槶槻槼檜櫃櫰櫷歸洼湀溎潙炅猤璝瓌癐瞡瞶硊祈祪禬窐簂繪胿膭茥蓕蘬蛫螝蟡袿襘規觖觤詭謉譌貴赽趹蹶軌郌鐀閨陒隗鞼騩鬹鮭鱖鱥鳺鴂龜𠐽𠜾𠪑𠱓𠿥𡃩𡌲𡗤𡧭𡬂𡷺𡹙𢃯𢄊𢠿𢻂𢻗𣄜𣢪𣦦𣧎𣪕𣷾𤘧𤜂𤡱𤱺𤱾𤲉𤻿𤼮𤿡𥇳𥈸𥍁𥍨𥎛𥜏𥥠𥦣𦓯𦤇𦳛𧊄𧡫𧢦𧷱𧹑𧻜𧽸𨇙𨋡𨲿𨾚𨾴𩉝𩊛𩌃𩍨𩏐𩏡𩑬𩒙𩓠𩔆𩪁𩱻𩲡𩳝𩳧𪀗𪄯𪆳𪈥𪊧𪏤𮬝𱤑𱦈
gun 滚棍辊衮磙鲧绲㙥㨰㫎㯻䃂䎾䜇䵪丨卷惃混渾滾琯璭睔睴緄緷蓘蔉袞裷謴輥錕鮌鯀鰥𠃌𠞬𡈧𡘝𡻨𢃩𣮎𥕦𦓼𦠺𦫎𧬪𧸫𨍲𩨬𩩌
guo 国过果郭锅裹帼椁蝈虢聒埚掴崞蜾呙馘漍粿腘馃𬇹㕵㖪㗥㗻㳀㳡㶁㿆䂸䆐䐸䙨䤋䬎䴹划咶咼唬啯嘓囗囯囶囻圀國埻堝墎幗彉彍惈慖摑楇槨櫎活涡淉渦濄猓瘑矌簂綶聝腂膕菓蔮蜮蝸蟈蠃褁輠過鈛錁鍋鐹餜𠋜𠜴𠩥𠿤𡆸𡇄𡓣𢃦𢅗𢐚𢝸𢧰𢸗𢹖𢼛𣁯𣂄𣽅𣽰𤂁𤫵𤬁𤮋𥁁𥂣𥄍𥆘𥇜𥕖𥜭𦄰𦗒𦘌𦛢𦬗𦸈𧒖𧖻𧤯𧥵𧭕𧭣𧰒𧾛𨉹𨭗𨽏𩉕𩋗𩟂𩪐𩫏𩰬𩰭𩻧𪂠𪆹𪈃𪋊𭚦
ha 哈蛤铪吓呵奤獬虾蝦鉿𡄟𨉣
hai 海还害孩亥骸骇氦嗨胲醢咍嗐㕢㜾㤥㧉㧡㨟㰧㰩㱼㺔㾂䇋䜕䝳䠽䪱䯐䱺侅咳咴嚡塰妎拸浬烸猲絯還郂酼閡頦餀饚駭駴𠀅𠔑𠹛𡕗𡾨𢁓𢞐𢩸𢻜𣖻𣢇𣳠𤵽𤸎𥁐𥂧𥩤𥩲𦐤𦤦𦤬𦷷𧻲𧽊𧽖𨀖𨒨𨡬𨸜𩞞𩠚𩡔𩩰𩪃𩰶𩹄𬐚𱘆
han 汉韩含旱寒汗涵函喊憾罕焊翰邯撼瀚憨捍酣悍阚鼾邗颔蚶晗菡顸犴焓撖㘎垾崡嵅扞暵浛琀蔊虷㑵㒈㖤㘕㘚㙔㙳㟏㟔㢨㤷㦑㨔㪋㮀㰹㲦㵄㶰㸁㺖㺝㼨䁔䈄䍐䍑䎏䎯䏷䐄䓍䓿䕿䖔䗙䗣䘶䛞䜗䣻䤴䥁䧲䨡䫲䮧䶃丆仠佄傼兯凾厂厈咁哻唅嚂圅娢嫨屽岾嵌幹忓感攼旰晘桿梒椷榦欦歛汵泔浫涆淊淦漢澉澏澣灘熯爳猂甘甝皔睅矸笒筨肣莟蘫蛿蜬蜭螒譀谽豃軒釬鈐銲鋎鋡閈闞闬雗靬韓頇頜頷顄顩馠馯駻鬫魽鳱鶾鿰𠗴𠢇𠤮𠤾𠥴𠦊𠲒𠵸𠹄𠽦𠿑𡁀𡇜𡣔𡬖𡷛𡻡𢀵𢃗𢄜𢇞𢎘𢔈𢔔𢧦𣐺𣒷𣘞𣛴𣝽𣢅𣢟𣢺𣵷𤀉𤌐𤞶𤬯𤭙𤳉𤸕𤿧𥀐𥆡𥇌𥉰𥤱𦋣𦒅𦒝𦛜𦜆𦞞𦥖𦺦𧂃𧃙𧑚𧭻𧮰𧮳𧯘𧰪𧵊𧹣𧾔𨁄𨛎𨢈𨸗𩄙𩈖𩈣𩎒𩕠𩖺𩗤𩞿𩠻𩦊𩭥𩹑𩹼𩼉𩾝𪁟𫒶𫘣𬉧𱼞
hang 行航杭夯吭珩沆绗颃㤚㬻㰠䀪䂫䘕䟘䢚䣈䦭䲳垳妔巷忼斻桁炕狠狼笐筕絎肮苀蚢貥迒邟酐頏魧𠡊𡕧𤰟𤵻𤼍𥮕𦐄𦨵𧘃𧦑𨁈𨾒𩉜𩔋𩠾𩲋𩶞𪐦𪕇𪗜𲀟
hao 好号毫豪耗浩郝皓昊蒿壕灏嚎濠蚝貉颢嗥薅嚆淏皞鄗㘪㙱㚪㝀㞻㠙㩝㬔㬶䒵䚽䝞䝥䧚䧫䪽䯫傐儫呺哠唬嘷噑妞恏悎昦晧暠暤暭曍椃毜滈澔灝獆獋獔皋皜皡皥睾秏竓籇翯聕膠茠薃薧藃號虠蠔諕譹鎒鎬镐顥鰝𠚃𠢕𡐒𡚌𡚽𡠖𡥆𡽝𢻇𣆧𣘫𣚧𣭖𣭹𣱓𣽎𤀃𤝐𤡇𤢨𤢭𤩩𤩭𤫧𥍣𥢑𦳁𧇼𧦝𧬁𧯌𨂜𨒑𨚙𨚮𨝲𨠬𨼍𩐮𩕍𩖸𩫕𩮘𩲊𱛧𱸡𱺮
he 和合河何核贺喝赫荷盒鹤呵禾菏壑褐涸阂阖劾诃颌嗬貉曷翮纥盍垎熇盉翯郃鞨饸鹖龁龢𬌗㔠㕡㗿㚘㥺㧁㪃㪉㪋㬞㭘㭱㮝㮫㰤㰰㵑㷎㹇㾑㿣㿥䃒䅂䏜䐧䒩䓇䓼䕣䚂䞦䢔䫘䮤䯨䳚䳽䶅䶎佫吓呼咊咼哈哧哬啝喛嗃嗑噈嚇姀害寉峆惒愒抲挌揭敆柇格楁欱毼洽渮渴澕焃煂熆燺爀犵狢猲癋皬盇硅碋礉秴穒篕籺粭紇繳苛萂藃藿蚵蝎螛蠚袔覈訶訸詥謞貈賀輅轄鉌鑉閡闔隺霍靍靎靏頜餄餲鬩魺鲄鵠鶡鶮鶴鸖麧齃齕𠀀𠁗𠗂𠘢𠚔𠛳𠡀𠧕𠰓𠳇𠳊𠵩𠶹𠶾𠻙𡀽𡇞𡇶𡫥𢄍𢅰𢥳𢬲𣆈𣏷𣣹𣰌𣲑𣲲𣿌𤈧𤌾𤖱𥉑𥋿𥘫𥝖𥝸𥞄𥞍𥞩𥟃𥻉𥽶𦃔𦇸𦒏𦘿𦛘𦛜𦞦𦤦𦳬𦺞𦼰𦼵𦽅𧀔𧇎𧇮𧊬𧝂𧝳𧨂𧪞𧬂𧬱𧭳𧮵𧯉𧲦𨋟𨍇𨜱𨜴𨨛𨴢𩄸𩅢𩌡𩐥𩑸𩩒𩩲𩵢𪈊𪖲𪘹𬮤𰵝𱣻
hei 黑嘿𨭆𬭶㱄嗨潶黒𢖛𢡀𥕙𩻤
hen 很狠恨痕詪𬣳㯊䓳佷哏噷拫掀艮鞎𦚣𱖙𱳩
heng 衡横恒亨哼珩桁蘅堼姮鸻㔰㶇䬖䬝䯒佷啈恆悙橫涥烆狟胻脝行訇鑅鴴鵆𠔲𠧿𡧦𣨉𤮏𥞧𦨾𦪗𦶙𧝒𩙯𪏓
hong 红宏洪轰虹鸿弘哄烘泓訇蕻闳讧荭黉薨吽玒硔竑纮翃谼鋐𫟹𬭎㖓㗢㢬㧦㬴㶹䀧䂫䃔䆖䆪䉺䎕䜫䞑䡌䡏䧆䨎䩑䪦䫹䫺䲨仜共厷叿吰呍哅唝嗊嚝垬妅娂宖屸巆彋愩揈撔晎汪汯洚浤浲港渱渹潂澋澒灴焢玜瓨硡竤篊粠紅紘紭綋翝耾舼苰葒葓訌謍谹谾軣輷轟鈜鉷銾鍧閎閧闀闂霐霟鞃鬨魟鴻黌𠐿𠪷𠲓𠳃𠹅𡇳𡵓𡺭𢂔𢗵𢘌𢝁𢦅𢬀𢼦𣽝𤂲𤃫𤄏𤟼𥈿𥏕𥓰𥔀𥕗𥥈𥥡𥰲𦁷𦏺𦐌𦐳𦑟𦑠𦒃𦕠𦕷𦶓𧈽𧊯𧋔𧐬𧮴𧾧𨋮𨌁𨌆𨎗𨢣𨥺𨹁𨾊𩐠𩒓𩒴𩒼𩓅𩕆𩕉𩖉𩗄𩗢𩘇𩘎𩙛𩰓𩶥𪈘𫚉𭱊𮣳𱖀𱛒𱛨
hou 后候厚侯猴喉吼逅篌糇骺鲎瘊堠吽垕郈鍭鲘齁𬭤㖃㗋㤧㫗㬋㮢㰯㰻㸸㺅䂉䗔䙈䞀䞧䪷䫛䳧呴帿後洉犼睺矦翭翵腄葔詬豞鄇銗餱鮜鯸鱟𠯜𠴣𠷋𡞥𡟑𡹵𢜴𣔹𣣠𣣡𤘽𤙽𥀃𥅠𥈑𥚦𦍵𦑚𦚥𦞈𦞕𧇹𧙺𧩨𧮶𧻿𧼵𨒙𩃺𩄬𩘋𩙡𪃶𪄗𪅺𪇂𪑻𪖙𱴞
hu 护户湖互乎呼胡忽虎沪糊壶葫狐蝴弧瑚浒鹄琥扈唬滹惚祜囫斛笏醐猢怙唿戽槲觳煳鹕冱瓠岵鹱烀轷嫭昈昒淴礐縠鄠隺鳠㕆㗅㦆㦌㦿㧮㧾㨭㪶㫚㯛㱿㳷㴶㷤㸦㺀㺉㽇㾰䁫䇘䈸䉉䉿䊀䊺䍓䎁䓤䕶䗂䚛䞱䠒䤕䧼䨚䨼䩐䩴䪝䬍䭅䭌䭍䰧䴣䴯乕乥乯俿冴匢匫和喖嗀嗃嘑嘝嚛垀壷壺姱婟媩嫮寣帍幠弖怘恗惡戏戯戲戶戸抇搰摢擭曶枑核楛楜槴欻歑汩汻沍泘洿淈淲滬滸濩瀫焀熩瓡瓳穫箎箶簄粐絗綔縎羽胍膴芐芔芦芴苦苸萀蔛蔰虍虖虝螜衚觷許謼護许豰軤鈷鋘錿鍙鍸雇雐雽韄頀頶餬鬍魱鯱鰗鱯鳸鴩鵠鶘鶦鶮鶻鸌鹘𠥰𠦪𠯳𠰛𠴱𡉴𡍐𡜂𡞠𡧥𡰅𡱽𡴱𡵘𡹹𡻮𡼘𢆰𢉢𢎵𢏯𢑢𢑹𢓲𢚪𢝻𢨥𢨦𢪏𢽨𣄟𣎚𣑂𣓗𣙶𣛫𣝗𣡾𣫈𣲑𣹬𤇠𤌍𤎲𤐀𤘔𤘵𤜷𤝘𤞲𤨖𤭱𤶘𤹣𤾅𥂤𥇰𥐿𥢍𥢟𥰪𥲉𥶜𥷆𥾨𦁕𦊂𦊘𦊧𦏗𦖼𦗣𦧘𦩕𦬚𦭈𦴉𦷳𦺟𧂔𧅰𧆢𧆮𧆯𧇛𧇰𧌧𧍵𧗌𧘢𧛞𧞒𧠩𧢰𧣼𧥮𧥯𧦚𧦝𧩓𧰴𧲇𧲥𧹲𧹾𧻰𧿓𧿠𨍲𨕚𨖃𨛵𨝘𨝞𨢋𨢤𨣗𨥛𨱀𨴬𩂂𩑶𩖨𩢪𩨔𩰯𩱍𩳨𩵬𩶈𩾇𩾻𪂒𪄮𪍂𪏳𪏻𪕉𪕮𪕱𪙈𫗫𭘓𱝴
hua 化华划话花画滑哗骅桦猾铧婳觟㓰㕦㕲㕷㚌㟆㠏㦊㩇㭉㮯㳸㼫䀨䅿䇈䋀䔢䛡䯏䱻䴳䶤侉劃劐叱吪咶哇嘩埖夻姡婲嫿嬅學崋找搳摦撶敌杹枠椛槬樺檴澅澮獪畫畵砉硴磆稞竵粿糀繣罫腂舙芲華蒊蒍蕐蘤螖話誮諙諣譁譮豁輠釪釫鋘錵鏵驊魤鮭鷨黊𠝐𠤎𠳂𠿜𡁑𡺛𢄶𢦚𢼤𣶩𤁪𤙕𤼒𥉄𥒶𥢮𥧰𦁊𦖍𦧠𦧵𦧹𦪠𦶎𦽊𧑍𧨋𧪮𧽌𨣄𨶬𨶱𩂤𩗐𩝨𩤉𩨔𩲏𩵏𩸄𪉊𪗽𫜸𫰡𮬡𱞌𱾃
huai 怀坏淮徊槐踝㜳㠢䃶䈭佪划劃咶喟圳坯壊壞懐懷櫰瀤耲蘹蘾褢褱𣟉𣩹𣸎𤜄𦏨𦧬𧱳𩌃𩟮𪊉
huan 环换欢患缓唤焕幻痪桓寰涣宦洹浣豢奂郇圜獾鲩鬟萑逭漶锾缳擐㬊嬛峘澴綄荁貆镮鹮𤩽𬘫㕕㡲㣪㪱㬇㵹㶎㹕㹖㼫㿪䀓䁵䄆䆠䈠䍺䑏䒛䝠䠉䥧䦡䭴䯘䴉䴋䴟䴷喚喛嚾圂垸奐孉寏嵈巜愌懁懽換援攌梙槵欥歓歡汍渙澣灌烉煥犿狟瑍瑗環瓛瘓皖眩睆睔瞏糫絙緩繯羦肒脘萈蒝藧螌蠸讙豩豲貛轘还還酄鉮鍰鐶闤阛雈雚驩鯇鯶鰀鴅鵍鸛𠂄𠟼𠺐𠻍𡄤𡅱𡅻𡍦𡘍𡚊𡚜𡩂𡱌𡷗𢟿𣌓𣎅𣴟𤀣𤛚𤡟𤢁𤴯𤼐𤼢𤽅𤽕𥈉𥏇𥐓𥠅𥶍𥹚𥹳𦌦𦑛𦝝𦣴𦻃𦼉𧚁𧡩𧴊𨕹𨜌𨽧𩍡𩑖𩙽𩡧𩦘𩵄𩿊𪈩𪊥𪍺𬤰𬴐𮝹𱢡𲍗
huang 黄荒煌皇凰慌晃潢谎惶簧璜恍幌湟蝗隍徨遑肓篁鳇蟥癀㿠喤媓滉瑝艎锽𨱑㞷㠵㡃㤺㨪㬻㼹㾮䀮䁜䄓䅣䅿䊗䊣䌙䍿䐠䐵䑟䞹䪄䮲䳨䵃偟兤堭塃墴奛宺崲巟怳愰揘晄曂朚楻榥横櫎汻洸炾熀熿爌獚皝皩磺穔篊縨芒茫葟衁詤諻謊趪鍠鎤鐄韹餭騜鰉鱑鷬黃𠂸𡉚𡜋𡡄𡧽𡿰𢁹𢇟𣄙𣆖𣉪𣺬𤆴𤚝𤛥𤠛𤭉𤯷𤾑𥫼𥿪𦟮𦡽𦪗𦬺𦵽𧕸𧖬𧠬𧨆𨉁𨉤𨍧𨚳𨜔𨝴𨾡𩞩𩢯𪀞𪏍𪏒𪏙𫗮𱗢
